filename	bam_id	indexing_id	sample_id	Count	batch
WTCHG_406782_201191	406782	201191	OAS00018	3325625	2
WTCHG_406782_202179	406782	202179	OAS00019	3213099	2
WTCHG_406782_203167	406782	203167	OAS00022	6425504	2
WTCHG_406782_204155	406782	204155	OAS00040	2866441	2
WTCHG_406782_205143	406782	205143	ORA00004	2809013	2
WTCHG_406782_206131	406782	206131	ORA00007	3311515	2
WTCHG_406782_207119	406782	207119	ORA00016	3481378	2
WTCHG_406782_208107	406782	208107	ORA00027	3147324	2
WTCHG_406782_209190	406782	209190	JIA00053	3369984	2
WTCHG_406782_210178	406782	210178	OAS00008	3107836	2
WTCHG_406782_211166	406782	211166	OAS00011	3397959	2
WTCHG_406782_212154	406782	212154	OAS00015	2432606	2
WTCHG_406782_213142	406782	213142	OAS00034	3274120	2
WTCHG_406782_214130	406782	214130	OAS00035	6829233	2
WTCHG_406782_215118	406782	215118	ORA00013	2635995	2
WTCHG_406782_216106	406782	216106	ORA00019	992671	2
WTCHG_406782_217189	406782	217189	ORA00022	2847379	2
WTCHG_406782_218177	406782	218177	ORA00028	754	2
WTCHG_406782_219165	406782	219165	BHM00091	3318494	2
WTCHG_406782_220153	406782	220153	BHM00138	3009631	2
WTCHG_406782_221141	406782	221141	BHM00139	3697849	2
WTCHG_406782_222129	406782	222129	JIA00055	3506161	2
WTCHG_406782_223117	406782	223117	JIA00057	3595746	2
WTCHG_406782_224105	406782	224105	JIA00059	3905088	2
WTCHG_406782_225188	406782	225188	MUS00015	3309635	2
WTCHG_406782_226176	406782	226176	NCL00001	3227265	2
WTCHG_406782_227164	406782	227164	NCL00003	2944245	2
WTCHG_406782_228152	406782	228152	NCL00004	3888415	2
WTCHG_406782_229140	406782	229140	OAS00024	3875133	2
WTCHG_406782_230128	406782	230128	OAS00028	3172147	2
WTCHG_406782_231116	406782	231116	OAS00039	3251709	2
WTCHG_406782_232104	406782	232104	BHM00121	3582770	2
WTCHG_406782_233187	406782	233187	BHM00140	3208616	2
WTCHG_406782_234175	406782	234175	JIA00054	3336877	2
WTCHG_406782_235163	406782	235163	MUS00011	4107003	2
WTCHG_406782_236151	406782	236151	NCL00016	3331978	2
WTCHG_406782_237139	406782	237139	NCL00017	3549153	2
WTCHG_406782_238127	406782	238127	OAS00023	3753355	2
WTCHG_406782_239115	406782	239115	OAS00037	3030062	2
WTCHG_406782_240103	406782	240103	OAS00049	3038710	2
WTCHG_406782_241186	406782	241186	OAS00052	3623304	2
WTCHG_406782_242174	406782	242174	OAS00053	3307466	2
WTCHG_406782_243162	406782	243162	OAS00054	4255661	2
WTCHG_406782_244150	406782	244150	OAS00065	3389983	2
WTCHG_406782_245138	406782	245138	NCL00020	3508814	2
WTCHG_406782_246126	406782	246126	BHM00126	3921878	2
WTCHG_406782_247114	406782	247114	NCL00008	3214877	2
WTCHG_406782_248102	406782	248102	BHM00125	3786534	2
WTCHG_406782_249185	406782	249185	BHM00162	3690090	2
WTCHG_406782_250173	406782	250173	JIA00062	3183364	2
WTCHG_406782_251161	406782	251161	JIA00063	3404925	2
WTCHG_406782_252149	406782	252149	NCL00023	4131604	2
WTCHG_406782_253137	406782	253137	NCL00024	3240930	2
WTCHG_406782_254125	406782	254125	NCL00025	3937812	2
WTCHG_406782_255113	406782	255113	NCL00026	2926806	2
WTCHG_406782_256101	406782	256101	NCL00028	3801560	2
WTCHG_406782_257196	406782	257196	JIA00002	3741176	2
WTCHG_406782_258184	406782	258184	OAS00004	2919639	2
WTCHG_406782_259172	406782	259172	JIA00003	1371697	2
WTCHG_406782_260160	406782	260160	JIA00004	1264486	2
WTCHG_406782_261148	406782	261148	JIA00015	519679	2
WTCHG_406782_262136	406782	262136	JIA00016	3079927	2
WTCHG_406782_263124	406782	263124	OAS00013	3343252	2
WTCHG_406782_264112	406782	264112	JIA00001	3209907	2
WTCHG_406782_265195	406782	265195	JIA00026	3242949	2
WTCHG_406782_266183	406782	266183	JIA00027	3597259	2
WTCHG_406782_267171	406782	267171	OAS00014	3044492	2
WTCHG_406782_268159	406782	268159	JIA00031	3435219	2
WTCHG_406782_269147	406782	269147	JIA00032	3126170	2
WTCHG_406782_270135	406782	270135	JIA00019	2939031	2
WTCHG_406782_271123	406782	271123	JIA00025	2758136	2
WTCHG_406782_272111	406782	272111	JIA00028	3106882	2
WTCHG_406782_273194	406782	273194	OAS00001	3988650	2
WTCHG_406782_274182	406782	274182	OAS00005	3140187	2
WTCHG_406782_275170	406782	275170	ORA00001	3609082	2
WTCHG_406782_276158	406782	276158	JIA00034	2671873	2
WTCHG_406782_277146	406782	277146	JIA00035	3065122	2
WTCHG_406782_278134	406782	278134	JIA00037	3001052	2
WTCHG_406782_279122	406782	279122	JIA00043	2828313	2
WTCHG_406782_280110	406782	280110	JIA00046	2929719	2
WTCHG_406782_281193	406782	281193	BHM00074	3341629	2
WTCHG_406782_282181	406782	282181	BHM00113	2965574	2
WTCHG_406782_283169	406782	283169	BHM00114	2863261	2
WTCHG_406782_284157	406782	284157	BHM00116	0	2
WTCHG_406782_285145	406782	285145	BHM00117	3014260	2
WTCHG_406782_286133	406782	286133	BHM00118	1056255	2
WTCHG_406782_287121	406782	287121	BHM00127	3048794	2
WTCHG_406782_288109	406782	288109	BHM00130	2964322	2
WTCHG_406782_289192	406782	289192	BHM00131	3490136	2
WTCHG_406782_290180	406782	290180	BHM00132	3229080	2
WTCHG_406782_291168	406782	291168	JIA00029	3531621	2
WTCHG_406782_292156	406782	292156	JIA00040	25176319	2
WTCHG_406782_293144	406782	293144	JIA00047	3224256	2
WTCHG_406782_294132	406782	294132	JIA00048	3623024	2
WTCHG_406782_295120	406782	295120	JIA00050	3443683	2
WTCHG_406782_296108	406782	296108	OAS00012	3825772	2
WTCHG_413843_201191	413843	201191	OAS00018	3409310	2
WTCHG_413843_202179	413843	202179	OAS00019	3424196	2
WTCHG_413843_203167	413843	203167	OAS00022	6638855	2
WTCHG_413843_204155	413843	204155	OAS00040	3007319	2
WTCHG_413843_205143	413843	205143	ORA00004	2898101	2
WTCHG_413843_206131	413843	206131	ORA00007	3395466	2
WTCHG_413843_207119	413843	207119	ORA00016	3615907	2
WTCHG_413843_208107	413843	208107	ORA00027	3226626	2
WTCHG_413843_209190	413843	209190	JIA00053	3435525	2
WTCHG_413843_210178	413843	210178	OAS00008	3286077	2
WTCHG_413843_211166	413843	211166	OAS00011	3480764	2
WTCHG_413843_212154	413843	212154	OAS00015	2598199	2
WTCHG_413843_213142	413843	213142	OAS00034	3579573	2
WTCHG_413843_214130	413843	214130	OAS00035	6986003	2
WTCHG_413843_215118	413843	215118	ORA00013	2734154	2
WTCHG_413843_216106	413843	216106	ORA00019	1366815	2
WTCHG_413843_217189	413843	217189	ORA00022	2903792	2
WTCHG_413843_218177	413843	218177	ORA00028	920	2
WTCHG_413843_219165	413843	219165	BHM00091	3345838	2
WTCHG_413843_220153	413843	220153	BHM00138	3141928	2
WTCHG_413843_221141	413843	221141	BHM00139	3809314	2
WTCHG_413843_222129	413843	222129	JIA00055	3637372	2
WTCHG_413843_223117	413843	223117	JIA00057	3776343	2
WTCHG_413843_224105	413843	224105	JIA00059	4002784	2
WTCHG_413843_225188	413843	225188	MUS00015	3382730	2
WTCHG_413843_226176	413843	226176	NCL00001	3374291	2
WTCHG_413843_227164	413843	227164	NCL00003	3010581	2
WTCHG_413843_228152	413843	228152	NCL00004	3944967	2
WTCHG_413843_229140	413843	229140	OAS00024	3932997	2
WTCHG_413843_230128	413843	230128	OAS00028	3316626	2
WTCHG_413843_231116	413843	231116	OAS00039	3370010	2
WTCHG_413843_232104	413843	232104	BHM00121	3730022	2
WTCHG_413843_233187	413843	233187	BHM00140	3274539	2
WTCHG_413843_234175	413843	234175	JIA00054	3411738	2
WTCHG_413843_235163	413843	235163	MUS00011	4159653	2
WTCHG_413843_236151	413843	236151	NCL00016	3354863	2
WTCHG_413843_237139	413843	237139	NCL00017	3734730	2
WTCHG_413843_238127	413843	238127	OAS00023	3956704	2
WTCHG_413843_239115	413843	239115	OAS00037	3115510	2
WTCHG_413843_240103	413843	240103	OAS00049	3110734	2
WTCHG_413843_241186	413843	241186	OAS00052	3729001	2
WTCHG_413843_242174	413843	242174	OAS00053	3416601	2
WTCHG_413843_243162	413843	243162	OAS00054	4265498	2
WTCHG_413843_244150	413843	244150	OAS00065	3483468	2
WTCHG_413843_245138	413843	245138	NCL00020	3657705	2
WTCHG_413843_246126	413843	246126	BHM00126	4093064	2
WTCHG_413843_247114	413843	247114	NCL00008	3312043	2
WTCHG_413843_248102	413843	248102	BHM00125	3816107	2
WTCHG_413843_249185	413843	249185	BHM00162	3860056	2
WTCHG_413843_250173	413843	250173	JIA00062	3307725	2
WTCHG_413843_251161	413843	251161	JIA00063	3471173	2
WTCHG_413843_252149	413843	252149	NCL00023	4234203	2
WTCHG_413843_253137	413843	253137	NCL00024	3391060	2
WTCHG_413843_254125	413843	254125	NCL00025	4088994	2
WTCHG_413843_255113	413843	255113	NCL00026	3057854	2
WTCHG_413843_256101	413843	256101	NCL00028	3949478	2
WTCHG_413843_257196	413843	257196	JIA00002	3844245	2
WTCHG_413843_258184	413843	258184	OAS00004	3053902	2
WTCHG_413843_259172	413843	259172	JIA00003	2911727	2
WTCHG_413843_260160	413843	260160	JIA00004	2731830	2
WTCHG_413843_261148	413843	261148	JIA00015	1100436	2
WTCHG_413843_262136	413843	262136	JIA00016	3205664	2
WTCHG_413843_263124	413843	263124	OAS00013	3361566	2
WTCHG_413843_264112	413843	264112	JIA00001	3388645	2
WTCHG_413843_265195	413843	265195	JIA00026	3312704	2
WTCHG_413843_266183	413843	266183	JIA00027	3738637	2
WTCHG_413843_267171	413843	267171	OAS00014	3100079	2
WTCHG_413843_268159	413843	268159	JIA00031	3566241	2
WTCHG_413843_269147	413843	269147	JIA00032	3201178	2
WTCHG_413843_270135	413843	270135	JIA00019	3048168	2
WTCHG_413843_271123	413843	271123	JIA00025	2767155	2
WTCHG_413843_272111	413843	272111	JIA00028	3276788	2
WTCHG_413843_273194	413843	273194	OAS00001	4060607	2
WTCHG_413843_274182	413843	274182	OAS00005	3242686	2
WTCHG_413843_275170	413843	275170	ORA00001	3717025	2
WTCHG_413843_276158	413843	276158	JIA00034	2719891	2
WTCHG_413843_277146	413843	277146	JIA00035	3161746	2
WTCHG_413843_278134	413843	278134	JIA00037	3150918	2
WTCHG_413843_279122	413843	279122	JIA00043	2932185	2
WTCHG_413843_280110	413843	280110	JIA00046	3099342	2
WTCHG_413843_281193	413843	281193	BHM00074	3424342	2
WTCHG_413843_282181	413843	282181	BHM00113	3061475	2
WTCHG_413843_283169	413843	283169	BHM00114	2925597	2
WTCHG_413843_284157	413843	284157	BHM00116	3499431	2
WTCHG_413843_285145	413843	285145	BHM00117	3082888	2
WTCHG_413843_286133	413843	286133	BHM00118	2171862	2
WTCHG_413843_287121	413843	287121	BHM00127	3151770	2
WTCHG_413843_288109	413843	288109	BHM00130	3151338	2
WTCHG_413843_289192	413843	289192	BHM00131	3712600	2
WTCHG_413843_290180	413843	290180	BHM00132	3281371	2
WTCHG_413843_291168	413843	291168	JIA00029	3636025	2
WTCHG_413843_292156	413843	292156	JIA00040	3351378	2
WTCHG_413843_293144	413843	293144	JIA00047	3335046	2
WTCHG_413843_294132	413843	294132	JIA00048	3785023	2
WTCHG_413843_295120	413843	295120	JIA00050	3537538	2
WTCHG_413843_296108	413843	296108	OAS00012	3971432	2
WTCHG_416540_201191	416540	201191	OAS00018	3330240	2
WTCHG_416540_202179	416540	202179	OAS00019	3488993	2
WTCHG_416540_203167	416540	203167	OAS00022	6565890	2
WTCHG_416540_204155	416540	204155	OAS00040	2971988	2
WTCHG_416540_205143	416540	205143	ORA00004	2915873	2
WTCHG_416540_206131	416540	206131	ORA00007	3323301	2
WTCHG_416540_207119	416540	207119	ORA00016	3574324	2
WTCHG_416540_208107	416540	208107	ORA00027	3194459	2
WTCHG_416540_209190	416540	209190	JIA00053	3361341	2
WTCHG_416540_210178	416540	210178	OAS00008	3312566	2
WTCHG_416540_211166	416540	211166	OAS00011	3422941	2
WTCHG_416540_212154	416540	212154	OAS00015	2628502	2
WTCHG_416540_213142	416540	213142	OAS00034	3540740	2
WTCHG_416540_214130	416540	214130	OAS00035	6815471	2
WTCHG_416540_215118	416540	215118	ORA00013	2751851	2
WTCHG_416540_216106	416540	216106	ORA00019	1336847	2
WTCHG_416540_217189	416540	217189	ORA00022	2875441	2
WTCHG_416540_218177	416540	218177	ORA00028	811	2
WTCHG_416540_219165	416540	219165	BHM00091	3222244	2
WTCHG_416540_220153	416540	220153	BHM00138	3127042	2
WTCHG_416540_221141	416540	221141	BHM00139	3738801	2
WTCHG_416540_222129	416540	222129	JIA00055	3633238	2
WTCHG_416540_223117	416540	223117	JIA00057	3745252	2
WTCHG_416540_224105	416540	224105	JIA00059	3932865	2
WTCHG_416540_225188	416540	225188	MUS00015	3286897	2
WTCHG_416540_226176	416540	226176	NCL00001	3387561	2
WTCHG_416540_227164	416540	227164	NCL00003	2979424	2
WTCHG_416540_228152	416540	228152	NCL00004	3757458	2
WTCHG_416540_229140	416540	229140	OAS00024	3815027	2
WTCHG_416540_230128	416540	230128	OAS00028	3326950	2
WTCHG_416540_231116	416540	231116	OAS00039	3337481	2
WTCHG_416540_232104	416540	232104	BHM00121	3718400	2
WTCHG_416540_233187	416540	233187	BHM00140	3190135	2
WTCHG_416540_234175	416540	234175	JIA00054	3366358	2
WTCHG_416540_235163	416540	235163	MUS00011	4041101	2
WTCHG_416540_236151	416540	236151	NCL00016	3235601	2
WTCHG_416540_237139	416540	237139	NCL00017	3741967	2
WTCHG_416540_238127	416540	238127	OAS00023	3979438	2
WTCHG_416540_239115	416540	239115	OAS00037	3143715	2
WTCHG_416540_240103	416540	240103	OAS00049	3062431	2
WTCHG_416540_241186	416540	241186	OAS00052	3695244	2
WTCHG_416540_242174	416540	242174	OAS00053	3403367	2
WTCHG_416540_243162	416540	243162	OAS00054	4100726	2
WTCHG_416540_244150	416540	244150	OAS00065	3406685	2
WTCHG_416540_245138	416540	245138	NCL00020	3621759	2
WTCHG_416540_246126	416540	246126	BHM00126	4100611	2
WTCHG_416540_247114	416540	247114	NCL00008	3298362	2
WTCHG_416540_248102	416540	248102	BHM00125	3697505	2
WTCHG_416540_249185	416540	249185	BHM00162	3822815	2
WTCHG_416540_250173	416540	250173	JIA00062	3297239	2
WTCHG_416540_251161	416540	251161	JIA00063	3415562	2
WTCHG_416540_252149	416540	252149	NCL00023	4111137	2
WTCHG_416540_253137	416540	253137	NCL00024	3396546	2
WTCHG_416540_254125	416540	254125	NCL00025	4087783	2
WTCHG_416540_255113	416540	255113	NCL00026	3066419	2
WTCHG_416540_256101	416540	256101	NCL00028	3896349	2
WTCHG_416540_257196	416540	257196	JIA00002	3821373	2
WTCHG_416540_258184	416540	258184	OAS00004	3048748	2
WTCHG_416540_259172	416540	259172	JIA00003	2867397	2
WTCHG_416540_260160	416540	260160	JIA00004	2751498	2
WTCHG_416540_261148	416540	261148	JIA00015	1083867	2
WTCHG_416540_262136	416540	262136	JIA00016	3214204	2
WTCHG_416540_263124	416540	263124	OAS00013	3315438	2
WTCHG_416540_264112	416540	264112	JIA00001	3337662	2
WTCHG_416540_265195	416540	265195	JIA00026	3263242	2
WTCHG_416540_266183	416540	266183	JIA00027	3678888	2
WTCHG_416540_267171	416540	267171	OAS00014	3049344	2
WTCHG_416540_268159	416540	268159	JIA00031	3523281	2
WTCHG_416540_269147	416540	269147	JIA00032	3142061	2
WTCHG_416540_270135	416540	270135	JIA00019	3036800	2
WTCHG_416540_271123	416540	271123	JIA00025	2768430	2
WTCHG_416540_272111	416540	272111	JIA00028	3287086	2
WTCHG_416540_273194	416540	273194	OAS00001	3893391	2
WTCHG_416540_274182	416540	274182	OAS00005	3226393	2
WTCHG_416540_275170	416540	275170	ORA00001	3691028	2
WTCHG_416540_276158	416540	276158	JIA00034	2685045	2
WTCHG_416540_277146	416540	277146	JIA00035	3150647	2
WTCHG_416540_278134	416540	278134	JIA00037	3157902	2
WTCHG_416540_279122	416540	279122	JIA00043	2977795	2
WTCHG_416540_280110	416540	280110	JIA00046	3186404	2
WTCHG_416540_281193	416540	281193	BHM00074	3351756	2
WTCHG_416540_282181	416540	282181	BHM00113	3071117	2
WTCHG_416540_283169	416540	283169	BHM00114	2913782	2
WTCHG_416540_284157	416540	284157	BHM00116	3462401	2
WTCHG_416540_285145	416540	285145	BHM00117	3059145	2
WTCHG_416540_286133	416540	286133	BHM00118	2066693	2
WTCHG_416540_287121	416540	287121	BHM00127	3176522	2
WTCHG_416540_288109	416540	288109	BHM00130	3146498	2
WTCHG_416540_289192	416540	289192	BHM00131	3608041	2
WTCHG_416540_290180	416540	290180	BHM00132	3211335	2
WTCHG_416540_291168	416540	291168	JIA00029	3566280	2
WTCHG_416540_292156	416540	292156	JIA00040	3347652	2
WTCHG_416540_293144	416540	293144	JIA00047	3276292	2
WTCHG_416540_294132	416540	294132	JIA00048	3763067	2
WTCHG_416540_295120	416540	295120	JIA00050	3533108	2
WTCHG_416540_296108	416540	296108	OAS00012	3869276	2
WTCHG_416541_201191	416541	201191	OAS00018	3336779	2
WTCHG_416541_202179	416541	202179	OAS00019	3570489	2
WTCHG_416541_203167	416541	203167	OAS00022	6545257	2
WTCHG_416541_204155	416541	204155	OAS00040	2982111	2
WTCHG_416541_205143	416541	205143	ORA00004	2954925	2
WTCHG_416541_206131	416541	206131	ORA00007	3339124	2
WTCHG_416541_207119	416541	207119	ORA00016	3575355	2
WTCHG_416541_208107	416541	208107	ORA00027	3187697	2
WTCHG_416541_209190	416541	209190	JIA00053	3361509	2
WTCHG_416541_210178	416541	210178	OAS00008	3358823	2
WTCHG_416541_211166	416541	211166	OAS00011	3427913	2
WTCHG_416541_212154	416541	212154	OAS00015	2671479	2
WTCHG_416541_213142	416541	213142	OAS00034	3593684	2
WTCHG_416541_214130	416541	214130	OAS00035	6816445	2
WTCHG_416541_215118	416541	215118	ORA00013	2775503	2
WTCHG_416541_216106	416541	216106	ORA00019	1334457	2
WTCHG_416541_217189	416541	217189	ORA00022	2876863	2
WTCHG_416541_218177	416541	218177	ORA00028	764	2
WTCHG_416541_219165	416541	219165	BHM00091	3209117	2
WTCHG_416541_220153	416541	220153	BHM00138	3159384	2
WTCHG_416541_221141	416541	221141	BHM00139	3749744	2
WTCHG_416541_222129	416541	222129	JIA00055	3653997	2
WTCHG_416541_223117	416541	223117	JIA00057	3800424	2
WTCHG_416541_224105	416541	224105	JIA00059	3932676	2
WTCHG_416541_225188	416541	225188	MUS00015	3297911	2
WTCHG_416541_226176	416541	226176	NCL00001	3406197	2
WTCHG_416541_227164	416541	227164	NCL00003	2971112	2
WTCHG_416541_228152	416541	228152	NCL00004	3761513	2
WTCHG_416541_229140	416541	229140	OAS00024	3816591	2
WTCHG_416541_230128	416541	230128	OAS00028	3390483	2
WTCHG_416541_231116	416541	231116	OAS00039	3340538	2
WTCHG_416541_232104	416541	232104	BHM00121	3776397	2
WTCHG_416541_233187	416541	233187	BHM00140	3190149	2
WTCHG_416541_234175	416541	234175	JIA00054	3356220	2
WTCHG_416541_235163	416541	235163	MUS00011	4030369	2
WTCHG_416541_236151	416541	236151	NCL00016	3234006	2
WTCHG_416541_237139	416541	237139	NCL00017	3796382	2
WTCHG_416541_238127	416541	238127	OAS00023	4029174	2
WTCHG_416541_239115	416541	239115	OAS00037	3153288	2
WTCHG_416541_240103	416541	240103	OAS00049	3064233	2
WTCHG_416541_241186	416541	241186	OAS00052	3702901	2
WTCHG_416541_242174	416541	242174	OAS00053	3411088	2
WTCHG_416541_243162	416541	243162	OAS00054	4077002	2
WTCHG_416541_244150	416541	244150	OAS00065	3411152	2
WTCHG_416541_245138	416541	245138	NCL00020	3658300	2
WTCHG_416541_246126	416541	246126	BHM00126	4147947	2
WTCHG_416541_247114	416541	247114	NCL00008	3315147	2
WTCHG_416541_248102	416541	248102	BHM00125	3698251	2
WTCHG_416541_249185	416541	249185	BHM00162	3824174	2
WTCHG_416541_250173	416541	250173	JIA00062	3296764	2
WTCHG_416541_251161	416541	251161	JIA00063	3403047	2
WTCHG_416541_252149	416541	252149	NCL00023	4121552	2
WTCHG_416541_253137	416541	253137	NCL00024	3442155	2
WTCHG_416541_254125	416541	254125	NCL00025	4142747	2
WTCHG_416541_255113	416541	255113	NCL00026	3117483	2
WTCHG_416541_256101	416541	256101	NCL00028	3923792	2
WTCHG_416541_257196	416541	257196	JIA00002	3847777	2
WTCHG_416541_258184	416541	258184	OAS00004	3057545	2
WTCHG_416541_259172	416541	259172	JIA00003	2868091	2
WTCHG_416541_260160	416541	260160	JIA00004	2798497	2
WTCHG_416541_261148	416541	261148	JIA00015	1089977	2
WTCHG_416541_262136	416541	262136	JIA00016	3225254	2
WTCHG_416541_263124	416541	263124	OAS00013	3315177	2
WTCHG_416541_264112	416541	264112	JIA00001	3361423	2
WTCHG_416541_265195	416541	265195	JIA00026	3260192	2
WTCHG_416541_266183	416541	266183	JIA00027	3688768	2
WTCHG_416541_267171	416541	267171	OAS00014	3047795	2
WTCHG_416541_268159	416541	268159	JIA00031	3524655	2
WTCHG_416541_269147	416541	269147	JIA00032	3151479	2
WTCHG_416541_270135	416541	270135	JIA00019	3042486	2
WTCHG_416541_271123	416541	271123	JIA00025	2775587	2
WTCHG_416541_272111	416541	272111	JIA00028	3333029	2
WTCHG_416541_273194	416541	273194	OAS00001	3899936	2
WTCHG_416541_274182	416541	274182	OAS00005	3220375	2
WTCHG_416541_275170	416541	275170	ORA00001	3698484	2
WTCHG_416541_276158	416541	276158	JIA00034	2671688	2
WTCHG_416541_277146	416541	277146	JIA00035	3171891	2
WTCHG_416541_278134	416541	278134	JIA00037	3193084	2
WTCHG_416541_279122	416541	279122	JIA00043	2993845	2
WTCHG_416541_280110	416541	280110	JIA00046	3232339	2
WTCHG_416541_281193	416541	281193	BHM00074	3357874	2
WTCHG_416541_282181	416541	282181	BHM00113	3086123	2
WTCHG_416541_283169	416541	283169	BHM00114	2895018	2
WTCHG_416541_284157	416541	284157	BHM00116	3487110	2
WTCHG_416541_285145	416541	285145	BHM00117	3065722	2
WTCHG_416541_286133	416541	286133	BHM00118	2061397	2
WTCHG_416541_287121	416541	287121	BHM00127	3204124	2
WTCHG_416541_288109	416541	288109	BHM00130	3179841	2
WTCHG_416541_289192	416541	289192	BHM00131	3630789	2
WTCHG_416541_290180	416541	290180	BHM00132	3204433	2
WTCHG_416541_291168	416541	291168	JIA00029	3580974	2
WTCHG_416541_292156	416541	292156	JIA00040	3370224	2
WTCHG_416541_293144	416541	293144	JIA00047	3310084	2
WTCHG_416541_294132	416541	294132	JIA00048	3786710	2
WTCHG_416541_295120	416541	295120	JIA00050	3545348	2
